jug_id,nom,nomEquip,posicio,gols,ranking_gols,promig_gols,partits,targetes,ranking_targetes,targetes_grogues,ranking_targetes_vermelles,assistencies,ranking_assistencies,promig_assistencies,passes,passes_bons,ranking_passes_bons,promig_passes_bons,ranking_passes,gols_ok,ranking_gols_ok,promig_gols_ok
01_0101_2018_244363,Cardona,Eibar,delantero,2,86,"0,2",10,1,303,1,298,0,0,"0,0",65,50,425,"76,92",425,4,399,"0,4"
01_0101_2018_454317,Enric Gallego,Huesca,delantero,2,86,"0,2",10,2,240,2,233,1,126,"0,1",216,111,367,"51,39",334,12,289,"1,2"
01_0101_2018_173219,Leo Suárez,Valladolid,centrocampista,2,86,"0,17",12,0,0,0,0,0,0,"0,0",148,119,360,"80,41",366,3,418,"0,25"
01_0101_2018_52117,S. Doumbia,Girona,delantero,2,86,"0,17",12,1,303,1,298,0,0,"0,0",36,27,456,"75,0",456,4,399,"0,33"
01_0101_2018_14464,Aduriz,Athletic,delantero,2,86,"0,15",13,3,187,3,176,0,0,"0,0",184,117,361,"63,59",355,10,318,"0,77"
01_0101_2018_169201,Chema Rguez.,Levante,defensa,2,86,"0,13",15,5,85,5,78,0,0,"0,0",275,197,314,"71,64",311,17,217,"1,13"
01_0101_2018_18507,Diego Costa,Atlético,delantero,2,86,"0,13",15,4,130,4,120,2,62,"0,13",290,203,309,"70,0",300,8,349,"0,53"
01_0101_2018_103263,Inui,Alavés,centrocampista,2,86,"0,13",15,0,0,0,0,0,0,"0,0",273,222,299,"81,32",313,9,335,"0,6"
01_0101_2018_48832,Rosales,Espanyol,defensa,2,86,"0,13",15,2,240,2,233,1,126,"0,07",686,528,146,"76,97",146,18,198,"1,2"
01_0101_2018_168598,Sanabria,Betis,delantero,2,86,"0,13",15,2,240,2,233,0,0,"0,0",137,103,373,"75,18",377,12,289,"0,8"
01_0101_2018_246333,Vinícius,R. Madrid,delantero,2,86,"0,13",15,0,0,0,0,0,0,"0,0",254,194,317,"76,38",320,10,318,"0,67"
01_0101_2018_208135,Diakhaby,Valencia,defensa,2,86,"0,13",16,6,58,6,55,0,0,"0,0",510,434,188,"85,1",220,10,318,"0,63"
01_0101_2018_39563,Marcelo,R. Madrid,defensa,2,86,"0,13",16,4,130,4,120,2,62,"0,13",888,745,83,"83,9",90,22,149,"1,38"
01_0101_2018_50401,N. Kalinic,Atlético,delantero,2,86,"0,13",16,3,187,3,176,0,0,"0,0",102,58,418,"56,86",399,4,399,"0,25"
